2단계,3단계,격자 X,격자 Y,위도(초/100),경도(초/100)
창원시의창구,,90,77,35.2540033,128.6401544
창원시의창구,동읍,91,78,35.284725,128.682513
창원시의창구,북면,89,79,35.3477816,128.6070384
창원시의창구,대산면,91,79,35.332427,128.7077811
창원시의창구,의창동,90,77,35.2621267,128.6229495
창원시의창구,팔룡동,90,77,35.2578111,128.6123236
창원시의창구,명곡동,90,77,35.2535471,128.6402341
창원시의창구,봉림동,91,77,35.2519644,128.6673448
창원시성산구,,91,76,35.1983844,128.7029401
창원시성산구,반송동,91,77,35.2359429,128.6695125
창원시성산구,용지동,91,77,35.2362277,128.6841286
창원시성산구,중앙동,91,77,35.2210983,128.673695
창원시성산구,상남동,91,76,35.216268,128.687212
창원시성산구,사파동,91,76,35.215843,128.708712
창원시성산구,가음정동,91,76,35.2131393,128.700594
창원시성산구,성주동,91,76,35.1897409,128.6950205
창원시성산구,웅남동,90,76,35.2053096,128.6271625
창원시마산합포구,,89,76,35.196874,128.567863
창원시마산합포구,구산면,89,74,35.119699,128.580887
창원시마산합포구,진동면,88,74,35.115182,128.488325
창원시마산합포구,진북면,87,74,35.115474,128.467412
창원시마산합포구,진전면,86,74,35.10289,128.418987
창원시마산합포구,현동,89,75,35.1388574,128.5770118
창원시마산합포구,가포동,89,75,35.169568,128.57205
창원시마산합포구,월영동,89,76,35.1793142,128.5577505
창원시마산합포구,문화동,89,76,35.184685,128.558175
창원시마산합포구,중앙동,89,76,35.1940929,128.5641375
창원시마산합포구,완월동,89,76,35.199526,128.564137
창원시마산합포구,자산동,89,76,35.2055381,128.5654462
창원시마산합포구,교방동,89,76,35.214335,128.566238
창원시마산합포구,오동동,89,76,35.208768,128.5786
창원시마산합포구,합포동,89,76,35.2109247,128.5791278
창원시마산합포구,산호동,89,76,35.2160999,128.5859895
창원시마산회원구,,89,76,35.220932,128.579706
창원시마산회원구,내서읍,88,77,35.24681,128.507625
창원시마산회원구,회원1동,89,76,35.2182626,128.5742472
창원시마산회원구,회원2동,89,76,35.218901,128.569238
창원시마산회원구,석전동,89,77,35.230185,128.57335
창원시마산회원구,회성동,89,77,35.233076,128.561637
창원시마산회원구,양덕1동,89,77,35.23231,128.586212
창원시마산회원구,양덕2동,89,77,35.229201,128.583925
창원시마산회원구,합성1동,89,77,35.2422167,128.5839889
창원시마산회원구,합성2동,89,77,35.2410453,128.586195
창원시마산회원구,구암1동,89,77,35.2493833,128.593525
창원시마산회원구,구암2동,89,77,35.24901,128.598388
창원시마산회원구,봉암동,89,76,35.2175954,128.6024625
창원시진해구,,91,75,35.13306,128.710081
창원시진해구,충무동,91,75,35.15054,128.660338
창원시진해구,여좌동,91,75,35.1585489,128.6603153
창원시진해구,태백동,91,75,35.1538996,128.6773763
창원시진해구,경화동,91,75,35.154357,128.686838
창원시진해구,병암동,91,75,35.154983,128.6895627
창원시진해구,석동,91,75,35.1586454,128.7000326
창원시진해구,이동,91,75,35.1493421,128.6999119
창원시진해구,자은동,91,75,35.1470924,128.7054364
창원시진해구,덕산동,91,75,35.1433466,128.7037445
창원시진해구,풍호동,91,75,35.137599,128.707313
창원시진해구,웅천동,92,74,35.111338,128.7496332
창원시진해구,웅동1동,93,75,35.1258956,128.7826923
창원시진해구,웅동2동,93,74,35.1012816,128.814835
진주시,,81,75,35.1770333333333,128.109999999999
진주시,문산읍,82,75,35.1660027777777,128.166511111111
진주시,내동면,80,75,35.1623833333333,128.069622222222
진주시,정촌면,81,74,35.1281305555555,128.104975
진주시,금곡면,82,73,35.0912638888888,128.190022222222
진주시,진성면,83,75,35.1819222222222,128.225544444444
진주시,일반성면,84,75,35.1680305555555,128.279277777777
진주시,이반성면,85,75,35.1661722222222,128.328552777777
진주시,사봉면,84,75,35.1852083333333,128.272711111111
진주시,지수면,83,76,35.2318944444444,128.271844444444
진주시,대곡면,82,77,35.2612194444444,128.171575
진주시,금산면,81,76,35.2109333333333,128.150111111111
진주시,집현면,80,76,35.23595,128.088586111111
진주시,미천면,81,78,35.2961388888888,128.117577777777
진주시,명석면,79,76,35.2165111111111,128.042541666666
진주시,대평면,78,76,35.2296111111111,127.963022222222
진주시,수곡면,77,75,35.1955861111111,127.934288888888
진주시,천전동,80,75,35.180709,128.084786
진주시,성북동,80,76,35.195742,128.078257
진주시,중앙동,80,75,35.1889638888888,128.088422222222
진주시,상봉동,80,76,35.198564,128.075111
진주시,상대동,81,75,35.180217,128.111758
진주시,하대동,81,75,35.1861777777777,128.129575
진주시,상평동,81,75,35.1730861111111,128.111222222222
진주시,초장동,81,76,35.1984472222222,128.117177777777
진주시,평거동,79,75,35.16379,128.04002
진주시,신안동,80,75,35.1814722222222,128.0712
진주시,이현동,80,75,35.1896916666666,128.063952777777
진주시,판문동,80,75,35.1650472222222,128.054466666666
진주시,가호동,81,75,35.1569444444444,128.108822222222
진주시,충무공동,81,75,35.182951,128.135843
통영시,,87,68,34.8512583333333,128.435277777777
통영시,산양읍,86,67,34.8003166666666,128.397908333333
통영시,용남면,87,68,34.86455,128.444588888888
통영시,도산면,85,69,34.9000777777777,128.364155555555
통영시,광도면,86,69,34.8965555555555,128.409208333333
통영시,욕지면,84,63,34.6332083333333,128.265577777777
통영시,한산면,88,66,34.7640111111111,128.5099
통영시,사량면,83,68,34.8423916666666,128.222088888888
통영시,도천동,86,68,34.8339194444444,128.415788888888
통영시,명정동,86,68,34.8394638888888,128.421952777777
통영시,중앙동,87,68,34.8434222222222,128.429197222222
통영시,정량동,87,68,34.8399361111111,128.432433333333
통영시,북신동,87,68,34.8539416666666,128.427686111111
통영시,미수동,86,68,34.82363943,128.4005325
통영시,봉평동,86,68,34.829575,128.416755555555
통영시,무전동,87,68,34.85425,128.434641666666
사천시,,80,71,35.0002833333333,128.066777777777
사천시,사천읍,80,73,35.0796805555555,128.093355555555
사천시,정동면,81,72,35.0530083333333,128.126111111111
사천시,사남면,80,72,35.0494444444444,128.077408333333
사천시,용현면,80,71,35.0103527777777,128.063444444444
사천시,축동면,80,74,35.1040555555555,128.090611111111
사천시,곤양면,78,72,35.0544361111111,127.961819444444
사천시,곤명면,78,74,35.1089194444444,127.943755555555
사천시,서포면,78,71,35.0043194444444,127.979075
사천시,동서동,80,70,34.9254444444444,128.071308333333
사천시,선구동,80,70,34.9265972222222,128.074311111111
사천시,동서금동,80,70,34.9278527777777,128.080855555555
사천시,벌용동,80,70,34.940625,128.081863888888
사천시,향촌동,81,70,34.9306444444444,128.095633333333
사천시,남양동,80,71,34.9664861111111,128.065422222222
김해시,,95,77,35.2255055555555,128.891666666666
김해시,진영읍,92,78,35.3012416666666,128.735555555555
김해시,주촌면,93,77,35.2327083333333,128.832908333333
김해시,진례면,92,77,35.2459555555555,128.749988888888
김해시,한림면,93,79,35.3175055555555,128.804508333333
김해시,생림면,94,79,35.3248833333333,128.851666666666
김해시,상동면,95,78,35.3046444444444,128.932697222222
김해시,대동면,96,77,35.2391972222222,128.982475
김해시,동상동,94,77,35.2337861111111,128.885733333333
김해시,회현동,94,77,35.2284916666666,128.880555555555
김해시,부원동,94,77,35.2256694444444,128.888822222222
김해시,내외동,94,77,35.23195,128.866722222222
김해시,북부동,94,77,35.2592722222222,128.869752777777
김해시,칠산서부동,94,76,35.2197666666666,128.873241666666
김해시,활천동,95,77,35.2258805555555,128.902108333333
김해시,삼안동,95,77,35.2407611111111,128.909641666666
김해시,불암동,95,77,35.2189722222222,128.928986111111
김해시,장유1동,93,76,35.2012527777778,128.812772222222
김해시,장유2동,93,76,35.1970916666667,128.797786111111
김해시,장유3동,93,76,35.1755333333333,128.811325
밀양시,,92,83,35.5007777777777,128.748944444444
밀양시,삼랑진읍,93,80,35.3927277777777,128.84
밀양시,하남읍,91,80,35.3724361111111,128.713288888888
밀양시,부북면,91,83,35.5082222222222,128.732108333333
밀양시,상동면,92,84,35.5497833333333,128.765544444444
밀양시,산외면,93,83,35.4995805555555,128.817097222222
밀양시,산내면,94,84,35.5812166666666,128.883111111111
밀양시,단장면,94,83,35.5121833333333,128.878288888888
밀양시,상남면,92,81,35.4452694444444,128.755841666666
밀양시,초동면,91,81,35.4186083333333,128.675152777777
밀양시,무안면,90,82,35.4676305555555,128.653741666666
밀양시,청도면,90,83,35.5458388888888,128.626697222222
밀양시,내일동,92,82,35.4912805555555,128.756355555555
밀양시,내이동,92,82,35.4939888888888,128.748486111111
밀양시,삼문동,92,82,35.479975,128.755277777777
밀양시,가곡동,92,82,35.4756861111111,128.766777777777
밀양시,교동,92,83,35.5079444444444,128.759386111111
거제시,,90,69,34.8773583333333,128.623355555555
거제시,일운면,92,68,34.8265333333333,128.705333333333
거제시,동부면,90,68,34.8184083333333,128.610375
거제시,남부면,90,66,34.7290416666666,128.612333333333
거제시,거제면,89,68,34.8478833333333,128.592611111111
거제시,둔덕면,88,68,34.8336388888888,128.507311111111
거제시,사등면,88,70,34.9158083333333,128.524475
거제시,연초면,91,70,34.91145,128.658775
거제시,하청면,91,71,34.9522055555555,128.657577777777
거제시,장목면,91,71,34.9835111111111,128.684575
거제시,장승포동,92,69,34.86425,128.7294
거제시,능포동,92,69,34.8761166666666,128.736911111111
